y.year,m.month,z.zip,sum(c.amount)
2014,10,27104,1000
2014,10,20001,1000
2014,10,33405,200
2014,10,33701,500
2014,10,20004,1000
2014,10,60305,1017
2014,10,60048,250
2014,10,20036,2500
2014,10,46201,30
2014,10,75225,300
2014,10,54027,250
2014,11,78602,250
2014,11,75201,2600
2014,11,38138,2600
2014,11,89448,5200
2014,11,28906,500
2014,11,31316,201
2014,11,89423,250
2014,11,40601,500
2014,12,76012,250
2014,12,77474,200
2014,12,83835,700
2014,12,42134,3600
2014,12,78730,10
2014,12,40008,415
2014,12,62967,250
2014,12,42502,250
2014,12,32920,250
2014,12,75034,100
2014,12,14223,500
2014,12,33844,250
2014,12,75231,2250
2014,12,40241,100
2014,12,42101,7850
2014,12,92065,500
2014,12,34134,44
2014,12,75234,250
2014,12,77450,250
2014,12,70820,50
2014,12,63131,250
2014,12,10018,2000
2014,12,79720,250
2014,12,30339,250
2014,12,61615,500
2014,12,24014,1000
2014,12,44266,50
2014,12,92660,7700
2014,12,91709,250
2014,12,80907,500
2014,12,77372,250
2014,12,80333,1000
2014,12,73505,250
2014,12,94930,600
2014,12,46545,250
2014,12,46204,250
2014,12,80207,1000
2014,12,42122,250
2014,12,10128,5400
2014,12,89511,3250
2014,12,75219,500
2014,12,79310,250
2014,12,40220,300
2014,12,47720,44
2014,12,94562,440
2014,12,52556,100
2014,12,28117,1000
2014,12,79606,800
2014,12,76179,750
2014,12,77058,50
2014,12,40202,250
2014,12,76457,250
2014,12,40067,500
2014,12,94966,100
2014,12,33455,100
2014,12,77426,250
2014,12,94024,100
2014,12,42104,11347
2014,12,79059,100
2014,12,79068,25
2014,12,77327,250
2014,12,30342,1250
2014,12,70715,300
2014,12,90067,2500
2014,12,92618,7600
2014,12,47660,300
2014,12,71292,750
2014,12,48073,1000
2014,12,32202,1000
2014,12,92394,400
2014,12,55331,1000
2014,12,77070,550
2014,12,97436,200
2014,12,90402,500
2014,12,77079,44
2014,12,44601,225
2014,12,78945,600
2014,12,91030,500
2014,12,80802,250
2014,12,71220,25
2014,12,55439,144
2014,12,20036,1500
2014,12,23454,300
2014,12,29169,1000
2014,12,92627,1000
2014,12,77429,250
2014,12,76110,125
2014,12,40025,500
2014,12,75204,500
2014,12,92663,5350
2014,12,41075,100
2014,12,77339,225
2014,12,90025,500
2014,12,83709,150
2014,12,76702,250
2014,12,18101,250
2014,12,17042,1000
2014,12,17015,50
2014,12,59802,500
2014,12,90064,2500
2014,12,74354,400
2014,12,40324,250
2014,12,80123,500
2014,12,18944,600
2014,12,94523,50
2014,12,92648,600
2014,12,75063,250
2014,12,34223,1000
2014,12,78006,350
2014,12,83712,500
2014,12,34986,250
2014,12,55352,200
2014,12,84035,100
2014,12,78212,2500
2014,12,77566,2000
2014,12,22551,250
2014,12,91356,0
2014,12,35802,250
2014,12,32034,1000
2014,12,47116,50
2014,12,11758,200
2014,12,76023,100
2014,12,33990,1000
2014,12,75009,250
2014,12,91302,1699
2014,12,40701,1000
2014,12,17754,200
2014,12,55337,350
2014,12,77578,150
2014,12,10011,250
2014,12,66121,100
2014,12,17422,1000
2014,12,78861,40
2014,12,95118,100
2014,12,45764,1000
2014,12,76008,100
2014,12,33625,500
2014,12,60657,250
2014,12,77479,200
2014,12,94086,1000
2014,12,90004,500
2014,12,40291,250
2014,12,77901,44
2014,12,19808,300
2014,12,32082,335
2014,12,21181,150
2014,12,23146,100
2014,12,10603,50
2014,12,34103,400
2014,12,27410,645
2014,12,22314,2000
2014,12,22404,250
2014,12,85207,250
2014,12,40222,1000
2014,12,21103,1000
2014,12,69165,300
2014,12,40509,500
2014,12,84103,500
2014,12,23920,50
2014,12,78209,1175
2014,12,79761,100
2014,12,45013,250
2014,12,85718,1275
2014,12,29303,200
2014,12,50701,600
2014,12,95354,65
2014,12,10956,200
2014,12,77096,50
2014,12,30577,1000
2014,12,44663,425
2014,12,30012,600
2014,12,77805,2500
2014,12,40204,1250
2014,12,45246,250
2014,12,76262,100
2014,12,92692,250
2014,12,86403,100
2014,12,78624,2600
2014,12,85739,300
2014,12,80230,250
2014,12,94002,50
2014,12,12466,300
2014,12,92656,500
2014,12,48075,2600
2014,12,88314,250
2014,12,30024,44
2014,12,37067,50
2014,12,33774,500
2014,12,42001,250
2014,12,63130,500
2014,12,47725,100
2014,12,92037,300
2014,12,42719,1000
2014,12,40207,1300
2014,12,34698,200
2014,12,91759,300
2014,12,42345,250
2014,12,37204,500
2014,12,58503,250
2014,12,12065,3600
2014,12,99603,330
2014,12,72212,150
2014,12,81435,100
2014,12,94301,2600
2014,12,60423,100
2014,12,42103,13625
2014,12,67206,50
2014,12,41017,2500
2014,12,20005,2600
2014,12,75442,250
2014,12,88119,900
2014,12,88433,200
2014,12,68516,100
2014,12,77057,500
2014,12,96777,500
2014,12,54403,1000
2014,12,850,100
2014,12,19009,150
2014,12,44256,75
2014,12,90401,500
2014,12,33304,44
2014,12,33618,100
2014,12,68402,2700
2014,12,27885,100
2014,12,42303,3600
2014,12,77401,500
2014,12,77042,144
2014,12,96753,400
2014,12,33609,100
2014,12,48341,1000
2014,12,32963,1600
2014,12,92653,1500
2014,12,14221,250
2014,12,62956,250
2014,12,34228,500
2014,12,75490,100
2014,12,77356,500
2014,12,45219,2600
2014,12,77024,1350
2014,12,76351,300
2014,12,41011,250
2014,12,67846,2000
2014,12,78657,44
2014,12,85260,500
2014,12,42240,250
2014,12,61054,100
2014,12,16132,425
2014,12,48009,2000
2014,12,73112,250
2014,12,80559,250
2014,12,94546,50
2014,12,31501,1000
2014,12,91352,500
2014,12,79922,0
2014,12,42276,500
2014,12,4675,350
2014,12,67119,100
2014,12,57564,600
2014,12,87144,250
2014,12,73507,250
2014,12,92662,500
2014,12,60184,57
2014,12,18940,250
2014,12,89109,44
2014,12,85541,100
2014,12,49456,500
2014,12,11030,250
2014,12,30068,400
2014,12,78130,100
2014,12,53718,44
2014,12,42261,300
2014,12,64161,500
2014,12,34581,1000
2014,12,20002,373
2014,12,60707,250
2014,12,16404,200
2014,12,95033,100
2014,12,59729,600
2014,12,20190,250
2014,12,73034,250
2014,12,40242,250
2014,12,40906,1000
2014,12,34285,100
2014,12,65085,10400
2014,12,20854,150
2014,12,80032,250
2014,12,90027,1000
2014,12,12564,1500
2014,12,35801,1000
2014,12,10025,500
2014,12,29485,100
2014,12,61254,150
2014,12,45069,1000
2014,12,19006,1500
2014,12,46038,250
2014,12,28803,1250
2014,12,12208,1000
2014,12,90272,500
2014,12,84790,500
2014,12,63105,1250
2014,12,44641,400
2014,12,42102,3100
2014,12,40299,250
2014,12,78734,1250
2014,12,99504,100
2014,12,99163,100
2014,12,80439,250
2014,12,80107,100
2014,12,10019,500
2014,12,52402,250
2014,12,85750,500
2014,12,10028,250
2014,12,37069,250
2014,12,38944,200
2014,12,40155,300
2014,12,40245,250
2014,12,90505,250
2014,12,78411,50
2014,12,94022,250
2014,12,90254,2600
2014,12,78232,50
2014,12,60647,500
2014,12,41501,250
2014,12,61526,201
2014,12,60010,250
2014,12,68551,500
2014,12,45323,200
2014,12,79302,250
2014,12,73013,1000
2014,12,60004,100
2014,12,90266,1000
2014,12,12148,2600
2014,12,48098,1000
2014,12,29607,500
2014,12,42159,1000
2014,12,80558,250
2014,12,40741,250
2014,12,20815,1000
2014,12,40508,250
2014,12,21030,250
2014,12,93065,50
2014,12,78746,300
2014,12,43074,50
2014,12,99516,100
2014,12,77068,44
2014,12,70124,250
2014,12,93020,255
2014,12,78701,2600
2014,12,83833,100
2014,12,74583,1000
2014,12,78737,250
2014,12,67621,200
2014,12,60614,802
2014,12,20106,1000
2014,12,43615,50
2014,12,59935,100
2014,12,80202,1000
2014,12,45212,250
2014,12,32203,1000
2014,12,44512,200
2014,12,60805,250
2014,12,40511,500
2014,12,42718,600
2014,12,75205,1244
2014,12,41094,1000
2014,12,40502,250
2014,12,77098,0
2014,12,27313,600
2014,12,33701,2600
2014,12,55126,94
2014,12,48433,325
2014,12,30005,250
2014,12,78749,500
2014,12,77008,200
2014,12,90403,250
2014,12,75214,250
2014,12,77080,44
2014,12,85119,1000
2014,12,42754,250
2014,12,43220,250
2014,12,20001,2000
2014,12,36258,128
2014,12,92027,50
2014,12,34957,150
2014,12,70695,100
2014,12,27244,250
2014,12,90056,1000
2014,12,79281,5200
2014,12,76087,250
2014,12,17761,250
2014,12,88737,201
2014,12,63957,300
2014,12,77388,100
2014,12,37849,250
2014,12,30501,1000
2014,12,77056,100
2014,12,33462,300
2014,12,32780,125
2014,12,77262,250
2014,12,92649,250
2014,12,90720,500
2014,12,78626,500
2014,12,70605,500
2014,12,60440,250
2014,12,77379,94
2014,12,80214,500
2014,12,12010,100
2014,12,77002,250
2014,12,48301,500
2014,12,73120,400
2014,12,94536,500
2014,12,30082,2000
2014,12,40059,500
2014,12,34236,250
2014,12,20007,100
2014,12,10111,5200
2014,12,89117,250
2014,12,60048,100
2014,12,31419,500
2014,12,89413,1000
2014,12,58801,500
2014,12,90292,794
2014,12,90274,1000
2014,12,55356,1000
2014,12,46142,500
2014,12,42167,500
2014,12,80226,500
2014,12,77346,500
2014,12,75946,0
2014,12,75605,2500
2014,12,48304,1000
2014,12,85268,1600
2014,12,70518,5000
2014,12,66436,140
2014,12,17055,600
2014,12,10021,1000
2014,12,33312,250
2014,12,98008,300
2014,12,78934,50
2015,1,79761,100
2015,1,94134,10
2015,1,30012,300
2015,1,85745,2000
2015,1,95354,65
2015,1,74037,250
2015,1,26836,300
2015,1,63127,500
2015,1,17015,50
2015,1,84097,250
2015,1,92109,600
2015,1,12466,150
2015,1,33487,100
2015,1,42127,300
2015,1,31316,201
2015,1,43081,300
2015,1,86002,250
2015,1,44256,75
2015,1,38622,200
2015,1,75254,250
2015,1,32162,100
2015,1,40228,200
2015,1,85338,200
2015,1,92626,400
2015,1,78666,100
2015,1,16159,100
2015,1,77006,250
2015,1,84121,200
2015,1,80227,1000
2015,1,60184,114
2015,1,34103,200
2015,1,75490,50
2015,1,89423,500
2015,1,69138,150
2015,1,20002,275
2015,1,45069,1000
2015,1,77583,50
2015,1,48075,2600
2015,1,83702,5000
2015,1,23411,35
2015,1,29440,-80
2015,1,20854,150
2015,1,59873,50
2015,1,85541,200
2015,1,72212,200
2015,1,64801,35
2015,1,33301,-8
2015,1,60010,250
2015,1,60423,25
2015,1,41017,1000
2015,1,88433,150
2015,1,78701,5000
2015,1,64068,400
2015,1,32541,250
2015,1,33109,-1400
2015,1,32203,500
2015,1,40744,500
2015,1,75205,500
2015,1,43615,25
2015,1,92691,250
2015,1,30068,100
2015,1,77379,44
2015,1,42712,1500
2015,1,77056,100
2015,1,77002,250
2015,1,44641,600
2015,1,68551,100
2015,1,63368,150
2015,1,15243,250
2015,1,17055,300
2015,1,78620,1000
2015,1,32819,100
2015,1,78605,100
2015,1,96701,1000
2015,1,80525,100
2015,1,34957,25
2015,1,40259,500
2015,1,46970,200
2015,1,77573,250
2015,1,98208,400
2015,1,10314,201
2015,1,43420,2600
2015,1,40513,300
2015,1,48178,150
2015,1,75605,250
2015,1,76107,2500
2015,1,10003,2500
2015,1,79068,50
2015,1,30342,50
2015,1,89511,2600
2015,1,70715,300
2015,1,32247,-2800
2015,1,32202,500
2015,1,78730,10
2015,1,45229,2600
2015,1,94565,100
2015,1,77474,200
2015,1,89146,250
2015,1,33458,200
2015,1,76110,125
2015,1,76023,100
2015,1,91302,18
2015,1,92648,400
2015,1,93536,201
2015,1,55110,200
2015,1,74561,100
2015,1,78861,30
